ID,Score,Review
0,5,"Absolutely love my Dyson UP16!Absolutely love my Dyson UP16! Purchased 2 years ago and only recently had trouble with it. A hole in a hose at the base of the unit and loss of suction. I called the Dyson helpline (conveniently listed on the machine! so I didn't need to google the number). The helpdesk lady was super helpful, took my details and booked the unit in to be serviced. The ladies at the service centre in Coopers Plains QLD were so friendly and made the whole experience easy and effortless. My Dyson was fixed under warranty and ready to be picked up 3 days later (they even offered to post it back at no cost!!). It now operates like a brand new machine again! Soo impressed with their service!!!"
1,5,"Great upright vacuum if you get it at the right priceI said I would never buy a Dyson Vac due to the price point always been too much for what they are. It's not like I don't mind spending the money for a good vacuum and I have spent close to a grand in the past on a high end wet and dry set up but it's just the Dyson product is highly overpriced IMO. But when I got the chance to buy a new light ball for only $360 I jumped and I am so far really happy with how it performs.
My old 15yo upright still works ok but hard to get bags for it now and the Dyson sure does find the dirt and cat hair it could never get up. The brush agitation is a high point for the dyson set up and it really performs well. Turning off the brush and then using it on hard floor surfaces is also great as I don't have to use the barrel vac anymore.

Canister is a bit on the small side but ok for what it is. Filters are easy to get too and clean as well.

The build quality leaves a bit to be desired with a bit too much flex in the handle and also when you pick it up to move it to another room the way the handle comes together means it will pull apart due to not having any firm way to lock down the handle parts so you need to watch that bit.

I feel the unit is far to plastic in its build quality in a negative way over other vacuums that feel far more solid and built to last a long time where with the dyson i think it will not get close to the other vacuums I have for service life.

Still hope I am wrong and will update my review if anything breaks on it.

The ball is a gimmick though and it is no better than other set ups. When you get used to how it moves it can be handy in certain tight corners but the way the handle flexes and the force needed at times to get the ball to go where you want it too means overall it's neither here or there."
2,5,"Do bother! Buy this one!(Title in reference to my last vacuum cleaner review)
This Dyson has excellent suction and comes with some pretty nifty tools, including a 2-in-1 crevice tool/brush attachment, mattress tool and dusting tool.
Honestly, it just does what you want it to, where and when you want it to!
The only disadvantage it has; and others have mentioned this, is that it does feel a little less solid compared to earlier Dyson uprights."
3,5,"Wonderful!This is a dream vacuum cleaner....light, easy to manoeuvre, and enough accessories to make cleaning an enjoyable task. Tried it in the shop and compared to my Miele it is so light!
Couldn’t believe how much fluff it picked up on my ‘so called clean carpets’"
4,5,"Good VacReplaced Hoover vacumn cleaner with dyson light ball upright had a similar one before,so far good bought as a result of a lot of resarch and reviews does leave some tracks in high weave carpet but otherwise good picks up pet hair lead is a bit tedious."
5,5,"Great Suction Easy to assembleI recently purchased an upright Dyson Light ball
Multi surface vacuum. I’ve had the barrel dyson in the past but thought the upright would be better hand height. The suction is amazing and the multi floor head works very well. It is a little heavy to push, so this may be a little negative vs the barrel option.
Overall I’m satisfied with this product."
6,5,"Dyson V15s - A Good VacThis is my fifth Dyson stick vacuum and with each model they improve. I didnt purchase this for the Submarine fitting, being more focussed on improved battery and performance. I have a house with three cats and a dog so pet hair is a problem, the floor is vinyl tiles, I found the green laser a god send in locating fur and other dust particles, the suction is very good and forward and back is adequate to pick up all particles. The unit came with an upright stand, it is a bit flimsy and I would have preferred the wall mount charging dock. The battery life is an improvement on my V10, I dont have any carpet so I cant comment on carpet performance.
I viewed a number of Youtube videos on the submarine attachment, this is not a wet and dry vacuum, there is no suction via the submarine attachment, it collect any particles and water in the submarine attachement, frankly I was suprised at some of the Youtube videos comparing the unit to wet and dry vacs, sucking up plates of spilt porridge, mounds of dirt and bowls of corn flakes, this attachment is simply for cleaning smooth floors, the wet roller runs over the floor and dirty water is squeezed into the waste collection, it cleaned adequately and the amount of effort and results was similar to my steam mop and left the same amount of water on the floor, filling and cleaning the submarine head is fiddly."
7,5,"Good Vacuum but Wet roller does not remove stain!Since I’m on a review spree, I thought I give my opinion on the new Dyson v15 detect submarine. I bought this when it came out last year and paid $1,549. The vacuum is very good, sucks up all the dust particles and dog fur very well which I love, however the wet roller does not remove stains or anything. It just glides on the floor and makes it wet pretty much. It’s also hard to get the water out of the fluffy mop and takes awhile for it to dry."
8,5,Great vacuum cleanerI've never really been a fan of dyson until now. The v15 detect vacuum with the submarine head is great. I can vacuum the whole house and then change the head over and mop the floors on 1 charge. This vacuum is great on pet hair too. I have carpet and vinyl floors
9,5,"Best investment ever!!!I’ve had v15 submarine for over a month and I have to say its the best investment I’ve ever made!!
I upgraded from the Dyson ball that I previously had and what a huge difference it’s been! I have two small kids so the house gets dirty fairly quickly. I use the vacuum daily. The battery time is perfect for my house (4 bedroom house with carpeting upstairs and hard floors downstairs). I can get the whole house done in one charge.
A bit about the vacuum: It come with various attachments. My favourite is the fluffy optic cleaner head!!!! It cleans hard floors with a green light that detects all the tiny particles that are invisible to the naked eye. Again wow. Love this tool!
There’s the Motorbar cleaner head for carpets. Compared to my previous Dyson, it is pulling so much dust from the carpets that I’m shocked. I’ve noticed my dust allergies improve since I bought this vacuum. Plus if I’m in a hurry I can quickly use it on hard floors as well.
Then there’s the Submarine head! I initially tossed with the idea of getting the v15 absolute detect instead of the v15 absolute detect submarine (which is the v15 plus the submarine head) but I ended up buying the submarine because it was on sale at the time. Compared to my previous Eufy wet n dry vac, again the cleaning is so good! While i have to vacuum first and then use the submarine head, I definitely prefer it this way because the cleaning is miles better! There are never any streaks left behind (hard floors or tiles) and and if find that I’ve gone over an area more than once and it’s wet, I simply roll the vacuum over it without turning it on and it dries up right away. Plus the clean up of the vacuum afterwards is a breeze. Just put the roller under running water and that’s it! It also comes with a drip tray, which is where I leave the submarine head once I’m done using it.
The vacuum comes with several other smaller tools. There’s the hair screw tool which I’ve regularly been using on my fabric and velvet sofas. It works amazingly! There’s also a combination tool which is great for the car. And the built in crevice tool to get in small narrrow places. I love that Dyson have it built into the main vacuum stick so you don’t have go looking for it when you need it. Simply take off the main stick and use it quickly.
Finally the floor dock. Love this feature because all the tools can stored on it while the vacuum charges and I won’t be misplacing any of them.
In terms on clean up the vacuum, besides the fluffy, everything can be opened up and washed easily.
The only negative: My hand does get tired from having to hold the power button while vacuuming. I wish Dyson had put a power button on the display screen instead. That said, I’ve done some research and there are several cheap options to buy a trigger lock so I don’t have to keep the button pressed down while vacuuming. Il be ordering one soon.
All in all, an amazing product that I would highly recommend!"
